ny,nx,dofs_t3,disp_t3
20,120,7623,-0.014993361055667257
20,102,6489,-0.014990234092729168
20,87,5544,-0.014985891754532321
20,72,4599,-0.014978823175090167
20,63,4032,-0.014972465311132976
20,54,3465,-0.014963569119245462
20,45,2898,-0.014950589339052495
20,39,2520,-0.014938175330729579
20,33,2142,-0.014920596315148525
20,27,1764,-0.014893796038743896
20,24,1575,-0.014874350213871
20,21,1386,-0.014848083651832742
20,18,1197,-0.014810806915674227
20,15,1008,-0.014754248231792527
20,12,819,-0.014659903560018745
20,9,630,-0.01447820859166017
20,6,441,-0.014033538532611311
15,120,5808,-0.014983637175763858
15,102,4944,-0.01498160890306581
15,87,4224,-0.014978615584255848
15,72,3504,-0.014973287430972133
15,63,3072,-0.014968103062108006
15,54,2640,-0.014960398870212683
15,45,2208,-0.014948541853599426
15,39,1920,-0.014936793233493714
15,33,1632,-0.014919787338121389
15,27,1344,-0.014893454899420186
15,24,1200,-0.014874202478978285
15,21,1056,-0.014848103349355908
15,18,912,-0.014810970232532514
15,15,768,-0.014754536283466946
15,12,624,-0.014660308965801117
15,9,480,-0.014478742106615207
15,6,336,-0.014034209910831366
11,120,4356,-0.014972745196935552
11,102,3708,-0.01497121323562762
11,87,3168,-0.014969085598762939
11,72,2628,-0.014965268801691694
11,63,2304,-0.014961374301131595
11,54,1980,-0.014955237726453468
11,45,1656,-0.014945136279256341
11,39,1440,-0.014934578505542005
11,33,1224,-0.01491870268400716
11,27,1008,-0.014893373013504348
11,24,900,-0.014874556335806506
11,21,792,-0.014848840947091954
11,18,684,-0.014812033304529262
11,15,576,-0.0147558600020016
11,12,468,-0.014661823510367907
11,9,360,-0.014480374365438765
11,6,252,-0.014035864661683595
9,120,3630,-0.014967366661229145
9,102,3090,-0.014965899609752177
9,87,2640,-0.01496398862254546
9,72,2190,-0.014960726417358591
9,63,1920,-0.014957446519226966
9,54,1650,-0.01495222232955474
9,45,1380,-0.014943366833203638
9,39,1200,-0.014933800827245236
9,33,1020,-0.01491898643802538
9,27,840,-0.014894703163379371
9,24,750,-0.014876371897873431
9,21,660,-0.014851097730884381
9,18,570,-0.014814670707399587
9,15,480,-0.014758797119198284
9,12,390,-0.01466495288914
9,9,300,-0.01448355353230455
9,6,210,-0.014038896133487635
7,120,2904,-0.014962424781021215
7,102,2472,-0.014960938828377878
7,87,2112,-0.014959078740787666
7,72,1752,-0.014956085982508978
7,63,1536,-0.014953214905133044
7,54,1320,-0.014948746814342138
7,45,1104,-0.014941173321967849
7,39,960,-0.014932828698601727
7,33,816,-0.014919527369956054
7,27,672,-0.014896957598601686
7,24,600,-0.014879500015917122
7,21,528,-0.01485506576474329
7,18,456,-0.014819402569284794
7,15,384,-0.014764165821850618
7,12,312,-0.014670767172298907
7,9,240,-0.014489536612150373
7,6,168,-0.014044639797322985
5,120,2178,-0.014964673163824854
5,102,1854,-0.014963192848804296
5,87,1584,-0.014961330736895605
5,72,1314,-0.01495839223519706
5,63,1152,-0.014955670871421557
5,54,990,-0.014951595546020177
5,45,828,-0.01494493809286056
5,39,720,-0.014937724853238965
5,33,612,-0.014926176978562524
5,27,504,-0.014906105598201658
5,24,450,-0.014890156138258727
5,21,396,-0.014867338677103914
5,18,342,-0.014833305763698868
5,15,288,-0.014779572640753304
5,12,234,-0.014687354883274035
5,9,180,-0.014506702893727358
5,6,126,-0.014061327908078985
4,120,1815,-0.014975203895956404
4,102,1545,-0.014973772531202516
4,87,1320,-0.014971944688612238
4,72,1095,-0.014969033565379822
4,63,960,-0.014966337159055498
4,54,825,-0.014962330364281259
4,45,690,-0.014955888632256623
4,39,600,-0.01494902649557793
4,33,510,-0.014938175261482575
4,27,420,-0.014919391247074755
4,24,375,-0.014904387486975057
4,21,330,-0.014882734000527151
4,18,285,-0.01485004882285819
4,15,240,-0.014797744632437255
4,12,195,-0.014706834470143707
4,9,150,-0.014527021273477943
4,6,105,-0.01408139779092475
3,120,1452,-0.015003079149018992
3,102,1236,-0.015001743773072814
3,87,1056,-0.015000005404267096
3,72,876,-0.014997187338432567
3,63,768,-0.01499454727232484
3,54,660,-0.014990605751854307
3,45,552,-0.014984282136706604
3,39,480,-0.014977602927794896
3,33,408,-0.014967166426095095
3,27,336,-0.014949331048752675
3,24,300,-0.014935166361091164
3,21,264,-0.014914712285628361
3,18,228,-0.014883662725849997
3,15,192,-0.014833428299889524
3,12,156,-0.014744815000434923
3,9,120,-0.014566911283794582
3,6,84,-0.014121459041028713
2,120,1089,-0.015047605336036142
2,102,927,-0.015046432285508421
2,87,792,-0.0150448723648306
2,72,657,-0.015042285827410986
2,63,576,-0.01503981717344545
2,54,495,-0.015036079127689016
2,45,414,-0.01503001140213072
2,39,360,-0.01502356826166112
2,33,306,-0.015013509943823148
2,27,252,-0.014996444997609843
2,24,225,-0.014983003817719857
2,21,198,-0.014963706429298859
2,18,171,-0.01493450356189965
2,15,144,-0.014887121709515217
2,12,117,-0.014802550760985163
2,9,90,-0.014629334011809735
2,6,63,-0.014186782895487885
