nx,ny,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8,dofs_q9,disp_q9
200,25,10452,-0.014671847430298004,40902,-0.014784752727047675,10452,-0.01475161258292743,30902,-0.01479249919211392,40902,-0.01479249919211392
166,25,8684,-0.014659651063721937,33966,-0.014781477155606551,8684,-0.014745233221174818,25666,-0.014789985929825646,33966,-0.014789985929825646
138,25,7228,-0.014643106185379484,28254,-0.014777692278414134,7228,-0.014737000628954397,21354,-0.01478692151172559,28254,-0.01478692151172559
115,25,6032,-0.01462079969310828,23562,-0.014773422927210586,6032,-0.014726478159394839,17812,-0.014783185002289412,23562,-0.014783185002289412
96,25,5044,-0.014590598741632441,19686,-0.014768700149819038,5044,-0.014712970182982423,14886,-0.014778784133455009,19686,-0.014778784133455009
80,25,4212,-0.014548684955731903,16422,-0.014763494854132033,4212,-0.014695138471533241,12422,-0.014773750328803657,16422,-0.014773750328803657
66,25,3484,-0.01448688159238781,13566,-0.014757614128420584,3484,-0.014670000801379483,10266,-0.014767967472688045,13566,-0.014767967472688045
55,25,2912,-0.014404732816584448,11322,-0.014751755756462747,2912,-0.014637751862766264,8572,-0.014762179772518765,11322,-0.014762179772518765
46,25,2444,-0.014292913362200158,9486,-0.014745811617905549,2444,-0.014594897815103482,7186,-0.014756308167070572,9486,-0.014756308167070572
38,25,2028,-0.014125505847725274,7854,-0.014739289000119735,2028,-0.014531603908083205,5954,-0.014749873264756758,7854,-0.014749873264756758
32,25,1716,-0.01391710098061799,6630,-0.014733305269771103,1716,-0.014452971792863025,5030,-0.014743977831425337,6630,-0.014743977831425337
26,25,1404,-0.013565566108365278,5406,-0.014725947241575903,1404,-0.014318839382766891,4106,-0.014736741257085496,5406,-0.014736741257085496
22,25,1196,-0.013179061618383937,4590,-0.01471992410162075,1196,-0.014167673222741775,3490,-0.014730834778706528,4590,-0.014730834778706528
18,25,988,-0.012559380175849271,3774,-0.014712540839765748,988,-0.01391492869440039,2874,-0.014723632625377528,3774,-0.014723632625377528
15,25,832,-0.011821981617108991,3162,-0.014705632479924569,832,-0.013594519610434074,2412,-0.014716961970709215,3162,-0.014716961970709215
12,25,676,-0.01067232050366545,2550,-0.014696721821666935,676,-0.013044450057866103,1950,-0.014708544977221414,2550,-0.014708544977221414
10,25,572,-0.009542238811430091,2142,-0.014688734364922362,572,-0.012431666150548904,1642,-0.014701306903980273,2142,-0.014701306903980273
8,25,468,-0.007991868158599712,1734,-0.01467717088992963,468,-0.0114440397491749,1334,-0.01469156248160173,1734,-0.01469156248160173
7,25,416,-0.007026381153272683,1530,-0.014668501295868394,416,-0.010720630609513407,1180,-0.014684859711944775,1530,-0.014684859711944775
6,25,364,-0.005929485496055595,1326,-0.014655569388185288,364,-0.009769717393461205,1026,-0.014675631310308015,1326,-0.014675631310308015
5,25,312,-0.004719489390595513,1122,-0.014633332611260336,312,-0.00851741128940322,872,-0.014661022178818782,1122,-0.014661022178818782
4,25,260,-0.003446647433619213,918,-0.014587317766730048,260,-0.00689188927196772,718,-0.01463232223712201,918,-0.01463232223712201
3,25,208,-0.002205105084788805,714,-0.014467603508609636,208,-0.004880429676582938,564,-0.014555696969558258,714,-0.014555696969558258
2,25,156,-0.0011344946196104246,510,-0.01404680756193157,156,-0.002662118118871052,410,-0.01424619074961717,510,-0.01424619074961717
1,25,104,-0.00039810286984343817,306,-0.011418720517002538,104,-0.0007712887835021479,256,-0.01184590790993062,306,-0.01184590790993062
200,19,8040,-0.014632344059091022,31278,-0.014778881334894743,8040,-0.014745510142434052,23678,-0.014785848680020903,31278,-0.014785848680020903
166,19,6680,-0.014621036019725952,25974,-0.014776330466396516,6680,-0.014740002655702472,19666,-0.014783762200255212,25974,-0.014783762200255212
