nx,ny,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8,dofs_q9,disp_q9
200,25,10452,-0.003603242610867403,40902,-0.0036465981335076364,10452,-0.0036320142089234985,30902,-0.0036467727295285135,40902,-0.0036467727295285135
166,25,8684,-0.0035819474312799933,33966,-0.003628217059102484,8684,-0.0036131457338973226,25666,-0.0036291153433543485,33966,-0.0036291153433543485
138,25,7228,-0.0035554189037748894,28254,-0.003611592849760795,7228,-0.003590416266943711,21354,-0.003608659781499672,28254,-0.003608659781499672
115,25,6032,-0.00359162222880206,23562,-0.0035658088247558723,6032,-0.003631025481728013,17812,-0.0035702774756070123,23562,-0.0035702774756070123
96,25,5044,-0.0034797044366685474,19686,-0.0035550583232796195,5044,-0.003528090844076326,14886,-0.003555132112745175,19686,-0.003555132112745175
80,25,4212,-0.0034243050047090677,16422,-0.0035170381461162407,4212,-0.0034835842153082405,12422,-0.0035211148999779217,16422,-0.0035211148999779217
66,25,3484,-0.0033478879158931746,13566,-0.003464527862034273,3484,-0.0034226735785853083,10266,-0.0034679560576703944,13566,-0.0034679560576703944
55,25,2912,-0.0034320672829747183,11322,-0.0033565537783787776,2912,-0.003517934170408713,8572,-0.0033674857887680885,11322,-0.0033674857887680885
46,25,2444,-0.0031370212488111855,9486,-0.003322235689763645,2444,-0.0032540843416720036,7186,-0.0033292378558593956,9486,-0.0033292378558593956
38,25,2028,-0.0029812751581971063,7854,-0.003214088505224522,2028,-0.0031276062166420383,5954,-0.003225972955438612,7854,-0.003225972955438612
32,25,1716,-0.002812463303369238,6630,-0.0030965580522758075,1716,-0.0029881162764930835,5030,-0.003109937599707782,6630,-0.003109937599707782
26,25,1404,-0.0025736424339275034,5406,-0.002924646362875643,1404,-0.0027864830601893324,4106,-0.0029429011072862055,5406,-0.0029429011072862055
22,25,1196,-0.0023574882341602927,4590,-0.002758525602129566,1196,-0.0026000423903585444,3490,-0.0027805315533433036,4590,-0.0027805315533433036
18,25,988,-0.002076106112244622,3774,-0.002543590654711612,988,-0.0023526223344237708,2874,-0.002567414893877505,3774,-0.002567414893877505
15,25,832,-0.0022779102600358264,3162,-0.00222364981980164,832,-0.0026910072327227786,2412,-0.0022517490821421225,3162,-0.0022517490821421225
12,25,676,-0.0014669040122614909,2550,-0.002064574886247177,676,-0.0017984443072889093,1950,-0.002091819822222785,2550,-0.002091819822222785
