ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
20,40,6888,-0.014883222690932691,11808,-0.015007788774404679,6888,-0.014910952015137934,11808,-0.015020204936674336
20,34,5880,-0.014874605088104731,10068,-0.014996907074186732,5880,-0.014905718196986571,10068,-0.015004271234989168
20,29,5040,-0.014863264623135747,8618,-0.014984944745436888,5040,-0.014898965616345097,8618,-0.014988414307914286
20,24,4200,-0.014844836139518569,7168,-0.014969145955782862,4200,-0.014888269519804735,7168,-0.014969320254020996
20,21,3696,-0.014827705846635201,6298,-0.014957091571920423,3696,-0.014878603953838297,6298,-0.014955715796124805
20,18,3192,-0.014802500914003223,5428,-0.014942346055655416,3192,-0.014864786284953815,5428,-0.014939826065058575
20,15,2688,-0.014763010580252483,4558,-0.014923789939640997,2688,-0.014843858056282412,4558,-0.014920587133775308
20,13,2352,-0.014722463078395894,3978,-0.014908285963746467,2352,-0.014822983487076873,3978,-0.014904901217616739
20,11,2016,-0.01466122243803906,3398,-0.014888877200728361,2016,-0.014792142969305784,3398,-0.01488553208647247
20,9,1680,-0.014561679551684173,2818,-0.014863066547506557,1680,-0.014742803114599861,2818,-0.014859978132482153
20,8,1512,-0.014486498377418602,2528,-0.014846251405252663,1512,-0.01470567450922222,2528,-0.014843368888676042
20,7,1344,-0.014382957653692222,2238,-0.014825303460573803,1344,-0.014654262482489112,2238,-0.014822684393085274
20,6,1176,-0.01423517839303135,1948,-0.014798103200895444,1176,-0.014579683539445883,1948,-0.014795786011283708
20,5,1008,-0.014015478321872728,1658,-0.014760865596282854,1008,-0.014464920651747797,1658,-0.014758976545614306
20,4,840,-0.013674369958870097,1368,-0.014706411160999364,840,-0.014274456792208337,1368,-0.014704909814753959
20,3,672,-0.013126205899814872,1078,-0.014621054840416967,672,-0.01392724886425173,1078,-0.014620826280411805
20,2,504,-0.01227095041841835,788,-0.014495529157613915,504,-0.013240292948248618,788,-0.01449736237288642
15,40,5248,-0.014864043364040574,8958,-0.015051048740476376,5248,-0.014906189749595802,8958,-0.01508399892262029
15,34,4480,-0.014855444803891008,7638,-0.015038760989802911,4480,-0.014900826544214825,7638,-0.015062795281870638
15,29,3840,-0.014844596194322332,6538,-0.015025300722077894,3840,-0.014894417001044177,6538,-0.01504155427693857
15,24,3200,-0.014827156219326797,5438,-0.015007393886740791,3200,-0.01488452232134364,5438,-0.01501604241006896
15,21,2816,-0.01481083511360577,4778,-0.01499354569121386,2816,-0.014875519836697491,4778,-0.014998028101915632
15,18,2432,-0.014786557715706666,4118,-0.014976389009879881,2432,-0.014862435966359253,4118,-0.014977265386871375
15,15,2048,-0.014748073911231285,3458,-0.014954592968302361,2048,-0.014842232806043716,3458,-0.01495266273328128
15,13,1792,-0.014708239246904805,3018,-0.014936371309983435,1792,-0.014821794611814413,3018,-0.01493312570028184
15,11,1536,-0.014647776583814838,2578,-0.014913750744258209,1536,-0.01479132692504262,2578,-0.014909695682530607
15,9,1280,-0.014549164492852186,2138,-0.014884221329300404,1280,-0.014742280305639727,2138,-0.014879893114484734
15,8,1152,-0.014474564148967514,1918,-0.014865361757997329,1152,-0.014705265139316076,1918,-0.01486109850439671
15,7,1024,-0.01437173889180841,1698,-0.014842253264501256,1024,-0.014653943077230756,1698,-0.014838199173531961
15,6,896,-0.014224882836483672,1478,-0.014812784718383116,896,-0.014579429539734871,1478,-0.014809045945516398
15,5,768,-0.014006424296308918,1258,-0.014773182644448771,768,-0.014464706769999468,1258,-0.014770004163034782
