ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
20,40,6888,-0.014883222690883945,11808,-0.015007788774389469,6888,-0.014910952015275819,11808,-0.01502020493666593
20,34,5880,-0.01487460508819887,10068,-0.014996907074013672,5880,-0.014905718196795792,10068,-0.015004271234802337
20,29,5040,-0.014863264623100517,8618,-0.014984944745295365,5040,-0.014898965616190722,8618,-0.014988414307915714
20,24,4200,-0.014844836139488494,7168,-0.014969145955766368,4200,-0.01488826951963864,7168,-0.014969320254391036
20,21,3696,-0.01482770584667401,6298,-0.014957091572170433,3696,-0.014878603953746204,6298,-0.01495571579625259
20,18,3192,-0.014802500914325684,5428,-0.014942346055969516,3192,-0.014864786285205715,5428,-0.014939826065342497
20,15,2688,-0.014763010580279755,4558,-0.014923789939521703,2688,-0.01484385805614541,4558,-0.01492058713381093
20,13,2352,-0.014722463078505344,3978,-0.014908285963767578,2352,-0.014822983487099858,3978,-0.014904901217806877
20,11,2016,-0.014661222437900226,3398,-0.014888877200699042,2016,-0.014792142969441518,3398,-0.0148855320865483
20,9,1680,-0.014561679551664037,2818,-0.014863066547826001,1680,-0.014742803115068816,2818,-0.014859978133097942
20,8,1512,-0.014486498377502193,2528,-0.014846251405156214,1512,-0.014705674509070088,2528,-0.014843368888523348
20,7,1344,-0.014382957653761986,2238,-0.014825303461035595,1344,-0.01465426248259697,2238,-0.014822684392822071
20,6,1176,-0.014235178392608218,1948,-0.01479810320061201,1176,-0.014579683539211562,1948,-0.014795786010665031
20,5,1008,-0.014015478322154138,1658,-0.014760865596345431,1008,-0.014464920651722286,1658,-0.014758976545786196
20,4,840,-0.01367436995882891,1368,-0.014706411161300252,840,-0.014274456792180758,1368,-0.0147049098141026
20,3,672,-0.013126205899862456,1078,-0.014621054840123403,672,-0.013927248864337067,1078,-0.01462082627969656
20,2,504,-0.01227095041841429,788,-0.014495529157741877,504,-0.013240292948339262,788,-0.014497362373167861
15,40,5248,-0.014864043364030206,8958,-0.015051048740578383,5248,-0.014906189749604937,8958,-0.01508399892251144
15,34,4480,-0.014855444803875385,7638,-0.015038760989731958,4480,-0.014900826544213874,7638,-0.015062795281890286
15,29,3840,-0.014844596194382597,6538,-0.015025300722026536,3840,-0.014894417001042971,6538,-0.015041554276985565
15,24,3200,-0.014827156219321012,5438,-0.015007393886747324,3200,-0.014884522321284116,5438,-0.015016042410001628
15,21,2816,-0.014810835113589828,4778,-0.014993545691193006,2816,-0.014875519836792625,4778,-0.01499802810160702
15,18,2432,-0.014786557715824057,4118,-0.014976389009888272,2432,-0.01486243596638699,4118,-0.014977265386915583
15,15,2048,-0.014748073911283134,3458,-0.014954592968417757,2048,-0.014842232806001249,3458,-0.014952662733158232
