ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
20,40,6888,-0.014880882587921886,11808,-0.014913323089021775,6888,-0.014908467541726669,11808,-0.014913331470022077
20,34,5880,-0.014872886109131508,10068,-0.014910595227181838,5880,-0.014903930371902168,10068,-0.014910602426952645
20,29,5040,-0.014861999302358046,8618,-0.014906794080866264,5040,-0.014897689709090401,8618,-0.014906799901850978
20,24,4200,-0.014843952427391206,7168,-0.014900644098117552,4200,-0.014887427977957555,7168,-0.01490064800665384
20,21,3696,-0.014827012517185397,6298,-0.01489518310448062,3696,-0.014877981137718543,6298,-0.014895185510418685
20,18,3192,-0.014801968578485229,5428,-0.014887675370504007,3192,-0.014864349296800389,5428,-0.014887675928100155
20,15,2688,-0.014762613522956217,4558,-0.014877012103793507,2688,-0.014843575093568347,4558,-0.014877010432988868
20,13,2352,-0.014722147990236896,3978,-0.01486712582691757,2352,-0.014822788035463488,3978,-0.014867122543021628
20,11,2016,-0.014660994303161094,3398,-0.014853603257657803,2016,-0.014792027439806902,3398,-0.014853598637436223
20,9,1680,-0.014561569767007851,2818,-0.014833924954035243,1680,-0.014742769358456337,2818,-0.014833920770482694
20,8,1512,-0.014486478610251728,2528,-0.014820259573347837,1512,-0.014705688723691027,2528,-0.014820257898831476
20,7,1344,-0.014383070638010757,2238,-0.014802512117568875,1344,-0.01465433668029414,2238,-0.01480251711091528
20,6,1176,-0.014235500811198152,1948,-0.014778559777009684,1176,-0.014579841337155026,1948,-0.01477858200176431
20,5,1008,-0.014016150427233974,1658,-0.014744615859246602,1008,-0.014465209829383608,1658,-0.014744681680958967
20,4,840,-0.013675650368221609,1368,-0.014693503991711569,840,-0.014274982815675909,1368,-0.014693705666413752
20,3,672,-0.013128547892271964,1078,-0.014611558756295405,672,-0.013928273698268576,1078,-0.01461220907535572
20,2,504,-0.012275256791509516,788,-0.014489914023364341,504,-0.013242757744888404,788,-0.014493116500173021
15,40,5248,-0.014856631817585366,8958,-0.014903263014323303,5248,-0.01489833160431676,8958,-0.014903286822641236
15,34,4480,-0.014849780466199834,7638,-0.014901627866686331,4480,-0.014894890030912355,7638,-0.014901649880633479
15,29,3840,-0.014840304566420624,6538,-0.014899168241824074,3840,-0.014889994448340736,6538,-0.014899187972028027
15,24,3200,-0.014824100856031678,5438,-0.014894747216738717,3200,-0.014881467052217158,5438,-0.01489476347323465
15,21,2816,-0.01480843239690433,4778,-0.014890449690426667,2816,-0.014873188356781848,4778,-0.014890462992184099
15,18,2432,-0.01478472819060016,4118,-0.014884120122798857,2432,-0.014860741135355068,4118,-0.014884129526312202
15,15,2048,-0.014746733300830673,3458,-0.01487455981793942,2048,-0.01484107916515914,3458,-0.014874564050016912
15,13,1792,-0.014707181105342852,3018,-0.014865320599910487,1792,-0.014820947789986449,3018,-0.014865320513645685
15,11,1536,-0.01464697782244964,2578,-0.014852346555613502,1536,-0.014790747324690413,2578,-0.014852341519375293
15,9,1280,-0.014548632008165096,2138,-0.014833101984811452,1280,-0.014741939009119891,2138,-0.014833092345316067
15,8,1152,-0.014474189267911396,1918,-0.014819607697817384,1152,-0.014705039829178784,1918,-0.014819597228938724
15,7,1024,-0.01437156299815961,1698,-0.014802000328373732,1024,-0.014653840334839375,1698,-0.014801992304930182
15,6,896,-0.014224984954278225,1478,-0.014778157218663348,896,-0.014579469405187197,1478,-0.014778161179036868
15,5,768,-0.014006952823308084,1258,-0.01474429302027692,768,-0.01446493654685955,1258,-0.0147443324263077
15,4,640,-0.013668257053627777,1038,-0.014693235577579082,640,-0.01427478922900454,1038,-0.014693403388132922
15,3,512,-0.013123574019201554,818,-0.014611320601044663,512,-0.013928147627653771,818,-0.01461190013448395
15,2,384,-0.01227305567317895,598,-0.014489626754392942,384,-0.013242666689285462,598,-0.014492800339748998
11,40,3936,-0.01481754953161402,6678,-0.014891684113872532,3936,-0.014886635168100475,6678,-0.014891748504142436
11,34,3360,-0.014811281969968702,5694,-0.014890534422849122,3360,-0.014883683985959548,5694,-0.014890596721590002
11,29,2880,-0.014802788386025464,4874,-0.014888926529661561,2880,-0.014879646273891425,4874,-0.014888985829349709
11,24,2400,-0.01478828972115866,4054,-0.014885994846659535,2400,-0.014872617579591874,4054,-0.014886048960169672
11,21,2112,-0.014774095903386086,3562,-0.014882967341136333,2112,-0.014865617101121179,3562,-0.014883016522945353
11,18,1824,-0.014752238207983515,3070,-0.014878177193396154,1824,-0.01485472067973122,3070,-0.014878219236889255
11,15,1536,-0.014716447617127934,2578,-0.014870330609119431,1536,-0.014836788950080794,2578,-0.014870362200311304
11,13,1344,-0.014678555491431444,2250,-0.014862242084570546,1344,-0.014817823851704348,2250,-0.014862264093018203
11,11,1152,-0.014620196979084845,1922,-0.01485034240925273,1152,-0.014788719069631931,1922,-0.014850352107673857
11,9,960,-0.014524012187517803,1594,-0.014832020918297325,960,-0.014740863783520802,1594,-0.014832015499292096
11,8,864,-0.014450868283451171,1430,-0.014818909501150158,864,-0.01470436693829044,1430,-0.014818896252168805
11,7,768,-0.014349790928135238,1266,-0.014801621169208773,768,-0.014653509692935307,1266,-0.014801601570972205
11,6,672,-0.014205146308573635,1102,-0.014778023569765122,672,-0.014579411599959048,1102,-0.0147780050537912
11,5,576,-0.013989633977428922,938,-0.01474431948190735,576,-0.01446506991699395,938,-0.014744319942924649
11,4,480,-0.013654311509815054,774,-0.014693321336140956,480,-0.014275014409450674,774,-0.014693434632249496
11,3,384,-0.013114042510073573,610,-0.014611335214201755,384,-0.013928325199193606,610,-0.014611789204554334
11,2,288,-0.012268456244136692,446,-0.014489322373656022,288,-0.01324255651429909,446,-0.014492445019592596
9,40,3280,-0.014782226633336299,5538,-0.014885223863251655,3280,-0.014880083646480089,5538,-0.01488533963321082
9,34,2800,-0.01477611365527834,4722,-0.014884128681398892,2800,-0.014877191772480754,4722,-0.01488424276896696
9,29,2400,-0.014767956450054257,4042,-0.014882723983038087,2400,-0.014873363228873908,4042,-0.01488283527461711
9,24,2000,-0.014754211465734773,3362,-0.014880325386408204,2000,-0.014866876775194816,3362,-0.01488043117810443
9,21,1760,-0.014740822370804573,2954,-0.014877892801048984,1760,-0.014860479288515626,2954,-0.014877992809774566
9,18,1520,-0.014720164311521462,2546,-0.014873986651830796,1520,-0.014850478139266054,2546,-0.014874077570186472
9,15,1280,-0.014686082521824687,2138,-0.014867343124656944,1280,-0.014833765942203803,2138,-0.014867419547114864
9,13,1120,-0.014649666953665947,1866,-0.0148602044869012,1120,-0.014815766394920897,1866,-0.014860266639273248
9,11,960,-0.014593109506875875,1594,-0.014849307096269877,960,-0.014787685578180432,1594,-0.01484934972137501
9,9,800,-0.014499171836442004,1322,-0.014831945531885523,800,-0.01474082129068889,1322,-0.014831961983935755
9,8,720,-0.014427409077567059,1186,-0.014819261171301374,720,-0.014704772092064977,1186,-0.014819262179293292
9,7,640,-0.01432798293675078,1050,-0.014802341917807528,640,-0.01465430883128485,1050,-0.014802326918705862
9,6,560,-0.01418538948474408,914,-0.014779035303170164,560,-0.01458053134792815,914,-0.014779009275035346
9,5,480,-0.013972524386715486,778,-0.014745518845004583,480,-0.014466410750501441,778,-0.014745493857816955
9,4,400,-0.01364070027956365,642,-0.014694569926692979,400,-0.014276436781956328,642,-0.01469464007937322
9,3,320,-0.013104940331639631,506,-0.014612438694780083,320,-0.01392961410349358,506,-0.014612775792889497
