ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
20,40,6888,-0.01488436937795756,11808,-0.015008946399425283,6888,-0.014912099199820172,11808,-0.015021371852480874
20,34,5880,-0.014875747298848874,10068,-0.014998060812991647,5880,-0.0149068617995873,10068,-0.01500543376809475
20,29,5040,-0.014864402632016396,8618,-0.0149860949815769,5040,-0.014900105980628044,8618,-0.01498957257865859
20,24,4200,-0.014845969195144155,7168,-0.014970292411119858,4200,-0.01488940628140332,7168,-0.014970473643997142
20,21,3696,-0.014828835288429496,6298,-0.014958235601219852,3696,-0.014879738252263606,6298,-0.01495686594858436
20,18,3192,-0.01480362588390358,5428,-0.014943487530763806,3192,-0.014865917722834167,5428,-0.014940972753840645
20,15,2688,-0.014764129546696344,4558,-0.014924928706841173,2688,-0.014844985905432736,4558,-0.0149217301390755
20,13,2352,-0.014723576533791376,3978,-0.014909422832874518,2352,-0.01482410819284435,3978,-0.014906041653187081
20,11,2016,-0.014662328277449527,3398,-0.014890012084364482,2016,-0.014793263410061678,3398,-0.014886669863543844
20,9,1680,-0.014562774261338014,2818,-0.014864199338882661,1680,-0.014743917161430888,2818,-0.014861113159145772
20,8,1512,-0.014487585574187745,2528,-0.01484738309612232,1512,-0.014706783941420389,2528,-0.014844502500589794
20,7,1344,-0.014384035768765017,2238,-0.014826434002987485,1344,-0.014655365739856652,2238,-0.01482381655807982
20,6,1176,-0.01423624623703344,1948,-0.014799232520440294,1176,-0.014580778301523828,1948,-0.01479691667706924
20,5,1008,-0.014016537164783158,1658,-0.014761993561960653,1008,-0.014466003593134031,1658,-0.014760105649778808
20,4,840,-0.013675430633315302,1368,-0.014707537507751235,840,-0.014275524156273695,1368,-0.014706037121619596
20,3,672,-0.013127311206229082,1078,-0.014622178861691391,672,-0.013928303399265735,1078,-0.014621951386913634
20,2,504,-0.012272230342512442,788,-0.014496648737403766,504,-0.013241388996155682,788,-0.01449848310198899
15,40,5248,-0.01486555506618326,8958,-0.015052578644399652,5248,-0.014907701280626665,8958,-0.015085544879956699
15,34,4480,-0.014856947549122245,7638,-0.015040283226595886,4480,-0.014902330720936373,7638,-0.015064333935889537
15,29,3840,-0.014846090596072245,6538,-0.0150268158837674,3840,-0.014895914463280896,6538,-0.015043085533512707
15,24,3200,-0.01482864111026546,5438,-0.01500890129480237,3200,-0.014886012399675498,5438,-0.015017564736353812
15,21,2816,-0.014812313394777466,4778,-0.014995048073741944,2816,-0.01487700501690685,4778,-0.01499954420387049
15,18,2432,-0.014788028218329422,4118,-0.014977886033379097,2432,-0.014863915671928098,4118,-0.014978774546046741
